336,Moritz Wagner,WAS,"$2,063,520"
337,Dylan Windler,CLE,"$2,035,800"
338,Caleb Swanigan,POR,"$2,033,160"
339,Trey Burke,PHI,"$2,028,594"
340,Kyle O'Quinn,PHI,"$2,028,594"
,,,Salary
Rk,Player,Tm,2019-20
341,Michael Carter-Williams,ORL,"$2,028,594"
342,Mike Muscala,OKC,"$2,028,594"
343,Nerlens Noel,OKC,"$2,028,594"
344,Troy Daniels,LAL,"$2,028,594"
345,Ben McLemore,HOU,"$2,028,594"
346,Spencer Hawes,MIL,"$2,007,058"
347,Edmond Sumner,IND,"$2,000,000"
348,Avery Bradley,MEM,"$2,000,000"
349,Noah Vonleh,DEN,"$2,000,000"
350,Landry Shamet,LAC,"$1,995,120"
351,Mfiondu Kabengele,LAC,"$1,977,000"
352,Kyle Kuzma,LAL,"$1,974,600"
353,Jordan Poole,GSW,"$1,964,760"
354,Tony Bradley,UTA,"$1,962,360"
355,Keldon Johnson,SAS,"$1,950,600"
356,Derrick White,SAS,"$1,948,080"
357,Robert Williams,BOS,"$1,937,520"
358,Josh Hart,NOP,"$1,934,160"
359,Jacob Evans,MIN,"$1,925,880"
360,Anderson Varejão,POR,"$1,913,345"
,,,Salary
Rk,Player,Tm,2019-20
361,Džanan Musa,BRK,"$1,911,600"
362,Omari Spellman,MIN,"$1,897,800"
363,Shabazz Napier,WAS,"$1,882,867"
364,Glenn Robinson,PHI,"$1,882,867"
365,James Ennis,ORL,"$1,882,867"
366,Tim Frazier,DET,"$1,882,867"
367,Larry Sanders,MIL,"$1,865,547"
368,Bruno Caboclo,HOU,"$1,845,301"
369,Markieff Morris,LAL,"$1,750,000"
370,Mario Hezonja,POR,"$1,737,145"
371,Emmanuel Mudiay,UTA,"$1,737,145"
372,Raul Neto,PHI,"$1,737,145"
373,JaKarr Sampson,IND,"$1,737,145"
374,Pat Connaughton,MIL,"$1,723,050"
375,Jahlil Okafor,NOP,"$1,702,486"
376,Rodions Kurucs,BRK,"$1,699,236"
377,Jonah Bolden,PHI,"$1,698,450"
378,Georges Niang,UTA,"$1,678,854"
379,Cheick Diallo,PHO,"$1,678,854"
380,Dragan Bender,MIL,"$1,678,854"
,,,Salary
Rk,Player,Tm,2019-20
381,David Nwaba,BRK,"$1,678,854"
382,Treveon Graham,ATL,"$1,678,854"
383,Willy Hernangómez,CHO,"$1,676,735"
384,Derrick Jones,MIA,"$1,645,357"
385,Jordan McRae,DET,"$1,645,357"
386,Christian Wood,DET,"$1,645,357"
387,Furkan Korkmaz,PHI,"$1,620,564"
388,Jordan Bell,MEM,"$1,620,564"
389,Justin Patton,DAL,"$1,620,564"
390,Royce O'Neale,UTA,"$1,618,520"
391,Dillon Brooks,MEM,"$1,618,520"
392,Wesley Iwundu,ORL,"$1,618,520"
393,Abdel Nader,OKC,"$1,618,520"
394,Damyean Dotson,NYK,"$1,618,520"
395,Frank Jackson,NOP,"$1,618,520"
396,Sterling Brown,MIL,"$1,618,520"
397,Dwayne Bacon,CHO,"$1,618,520"
398,Semi Ojeleye,BOS,"$1,618,520"
399,Chris Boucher,TOR,"$1,588,231"
400,Malcolm Miller,TOR,"$1,588,231"
,,,Salary
Rk,Player,Tm,2019-20
401,Monte Morris,DEN,"$1,588,231"
402,Mitchell Robinson,NYK,"$1,559,712"
403,Vlatko Čančar,DEN,"$1,517,981"
404,Isaiah Roby,OKC,"$1,500,000"
405,Nigel Williams-Goss,UTA,"$1,500,000"
406,J.R. Smith,CLE,"$1,456,667"
407,Shake Milton,PHI,"$1,445,697"
408,Thanasis Antetokounmpo,MIL,"$1,445,697"
409,Amile Jefferson,ORL,"$1,445,697"
410,Theo Pinson,BRK,"$1,445,697"
411,Brad Wanamaker,BOS,"$1,445,697"
412,Derrick Walton,ATL,"$1,445,697"
413,Ryan Broekhoff,DAL,"$1,443,842"
414,Gary Trent,POR,"$1,416,852"
415,Isaac Bonga,WAS,"$1,416,852"
416,Chimezie Metu,SAS,"$1,416,852"
417,Jevon Carter,PHO,"$1,416,852"
418,Elie Okobo,PHO,"$1,416,852"
419,Melvin Frazier,ORL,"$1,416,852"
420,Deonte Burton,OKC,"$1,416,852"
,,,Salary
Rk,Player,Tm,2019-20
421,Hamidou Diallo,OKC,"$1,416,852"
422,Kenrich Williams,NOP,"$1,416,852"
423,Jarred Vanderbilt,MIN,"$1,416,852"
424,Duncan Robinson,MIA,"$1,416,852"
425,Kendrick Nunn,MIA,"$1,416,852"
426,De'Anthony Melton,MEM,"$1,416,852"
427,Alize Johnson,IND,"$1,416,852"
428,Isaiah Hartenstein,HOU,"$1,416,852"
429,Sviatoslav Mykhailiuk,DET,"$1,416,852"
430,Bruce Brown,DET,"$1,416,852"
431,Keita Bates-Diop,DEN,"$1,416,852"
432,Devonte' Graham,CHO,"$1,416,852"
433,Jalen Brunson,DAL,"$1,416,582"
434,Bruno Fernando,ATL,"$1,400,000"
